address	balance
34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseo	24859749141744
bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97	15000
bc1ql49ydapnjafl5t2cp9zqpjwe6pdgmxy98859v2	14062481865279
3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6	1300
bc1qazcm763858nkj2dj986etajv6wquslv8uxwczt	9464330770664
1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF	1250
bc1q8yj0herd4r4yxszw3nkfvt53433thk0f5qst4g	7831703500185
18GNTFF5539R9drL41H9At5HwSA5BjbgXL 936
bc1qjasf9z3h7w3jspkhtgatgpyvvzgpa2wwd2lr0eh5tx44reyn2k7sfc27a4	7535408386751
3E97AjYaCq9QYnfFMtBCYiCEsN956Rvpj2	7517738819131
1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP	7020755401995
bc1qd4ysezhmypwty5dnw7c8nqy5h5nxg0xqsvaefd0qn5kq32vwnwqqgv4rzr	7000009413645
bc1qa5wkgaew2dkv56kfvj49j0av5nml45x9ek9hz6	6937017919473
3LYJfcfHPXYJreMsASk2jkn69LWEYKzexb	6820000554323
1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC	2200
1AC4fMwgY8j9onSbXEWeH6Zan8QGMSdmtA	5183040045999
bc1qcv8h9hp5w8c4qpze0a4tdxw6qjtvg8yps23k0g3aymxx7jlesv4q4t6f65	4885747046912
1AsHPP7WcGnDLzxW2bUa2FcbJP3eZVEqpx	4722873330956
bc1q4j7fcl8zx5yl56j00nkqez9zf3f6ggqchwzzcs5hjxwqhsgxvavq3qfgpr	4542872738716
bc1qs5vdqkusz4v7qac8ynx0vt9jrekwuupx2fl5udp9jql3sr03z3gsr2mf0f	4467111025954
1LruNZjwamWJXThX2Y8C2d47QqhAkkc5os	4400008683848
3MgEAFWu1HKSnZ5ZsC8qf61ZW18xrP5pgd	4251190042314
389Tb51RgrbciuPUdodmSUsg37KMuHQ72H	3936000000546
3LQUu4v9z6KNch71j7kbj8GPeAGUo1FW6a	3792707789467
bc1q7ydrtdn8z62xhslqyqtyt38mm4e2c4h3mxjkug	3600042305600
bc1qk4m9zv5tnxf2pddd565wugsjrkqkfn90aa0wypj2530f4f7tjwrqntpens	3527726282924
12Gws9EsEiDZLinu2SWkHdk7TcobjTau9u	3237132120778
12XqeqZRVkBDgmPLVY4ZC6Y4ruUUEug8Fx	3232100195635
bc1qx9t2l3pyny2spqpqlye8svce70nppwtaxwdrp4	3164339946933
3FHNBLobJnbCTFTVakh5TXmEneyf5PT61B	3127535229770
12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr	3100007428036
bc1qjet9suh6lpyu8uwcseywkr9zcn55lawp83wzde	2979999012413
3JZq4atUahhuA9rLhXLMhhTo133J9rF97j	2917260529668
12tkqA9xSoowkzoERHMWNKsTey55YEBqkv	2815105931088
39eYrpgAgDhp4tTjrSb1ppZ5kdAc1ikBYw	2613938410101
17MWdxfjPYP2PYhdy885QtihfbW181r1rn	2449535057800
bc1qr4dl5wa7kl8yu792dceg9z5knl2gkn220lk7a9	2441681808128 
